row_idx	col_idx	log2ratio
6	19	1792.35532100204
7	19	215.141020495996
8	19	575.658353347334
9	19	211.704503408143
10	19	310.665114156956
11	19	1125.79661511321
12	19	1054.26165626349
13	19	90.3251585780628
14	19	137.595927654227
15	19	137.595927654227
16	19	304.537425949241
17	19	347.713254570228
18	19	347.713254570228
19	19	0
20	19	0
21	19	118.595739657244
22	19	118.595739657244
23	19	3606.83658029863
24	19	2962.06361561599
25	19	2858.64705678208
26	19	3936.24296094545
27	19	4110.35785103062
28	19	1150.5897409944
29	19	1333.28560588295
30	19	1208.2258538615
31	19	957.764589253777
32	19	1191.79276164914
33	19	540.97006169065
34	19	540.97006169065
35	19	202.919329638307
36	19	4107.14308742268
1	20	3178.35020578523
2	20	3306.3839952424
3	20	363.038720035364
4	20	341.020687260036
5	20	2386.7404806142
6	20	1792.35532100204
7	20	215.141020495996
8	20	575.658353347334
9	20	211.704503408143
10	20	310.665114156956
11	20	1125.79661511321
12	20	1054.26165626349
13	20	90.3251585780628
14	20	137.595927654227
15	20	137.595927654227
16	20	304.537425949241
17	20	347.713254570228
18	20	347.713254570228
19	20	0
20	20	0
21	20	118.595739657244
22	20	118.595739657244
23	20	3606.83658029863
24	20	2962.06361561599
25	20	2858.64705678208
26	20	3936.24296094545
27	20	4110.35785103062
28	20	1150.5897409944
29	20	1333.28560588295
30	20	1208.2258538615
31	20	957.764589253777
32	20	1191.79276164914
33	20	540.97006169065
34	20	540.97006169065
35	20	202.919329638307
36	20	4107.14308742268
1	21	3290.41899450419
2	21	3419.66472133779
3	21	445.515104068199
4	21	420.539395611712
5	21	2501.05940639345
6	21	1907.10976852109
7	21	120.512868582509
8	21	460.161666039315
9	21	101.877542064552
10	21	207.516680034741
11	21	1228.99842195305
12	21	1158.90101222187
13	21	198.516146117753
14	21	83.3774136978717
15	21	83.3774136978717
16	21	217.938571473677
17	21	262.853309194618
18	21	262.853309194618
19	21	118.595739657244
20	21	118.595739657244
21	21	0
22	21	0
23	21	3719.5509481716
24	21	3074.76362854584
25	21	2971.34409554841
26	21	4048.96269475771
27	21	4223.04935450781
28	21	1260.66862936344
29	21	1442.94416877832
30	21	1316.92438531171
31	21	1064.72707374043
32	21	1299.84831767085
33	21	656.758251265069
34	21	656.758251265069
35	21	100.609483272945
36	21	4220.62002025525
1	22	3290.41899450419
2	22	3419.66472133779
3	22	445.515104068199
4	22	420.539395611712
5	22	2501.05940639345
6	22	1907.10976852109
7	22	120.512868582509
8	22	460.161666039315
9	22	101.877542064552
10	22	207.516680034741
11	22	1228.99842195305
12	22	1158.90101222187
13	22	198.516146117753
14	22	83.3774136978717
15	22	83.3774136978717
16	22	217.938571473677
17	22	262.853309194618
18	22	262.853309194618
19	22	118.595739657244
20	22	118.595739657244
21	22	0
22	22	0
23	22	3719.5509481716
24	22	3074.76362854584
25	22	2971.34409554841
26	22	4048.96269475771
27	22	4223.04935450781
28	22	1260.66862936344
29	22	1442.94416877832
30	22	1316.92438531171
31	22	1064.72707374043
32	22	1299.84831767085
33	22	656.758251265069
34	22	656.758251265069
35	22	100.609483272945
36	22	4220.62002025525
1	23	434.683973446612
2	23	305.268147351587
3	23	3318.18222390432
4	23	3345.54897649693
5	23	1227.45027111915
6	23	1820.66837203758
7	23	3818.9255082585
8	23	4178.84654423341
9	23	3809.60983227262
10	23	3908.86047696963
11	23	2521.66842733794
12	23	2583.23120952325
13	23	3544.64619174045
14	23	3735.69623228158
15	23	3735.69623228158
16	23	3899.63162338349
17	23	3937.96350254798
18	23	3937.96350254798
19	23	3606.83658029863
20	23	3606.83658029863
21	23	3719.5509481716
22	23	3719.5509481716
23	23	0
24	23	644.830687830688
25	23	748.258928571429
26	23	329.428571428571
27	23	503.560948562885
28	23	2461.57987409208
29	23	2281.39449049141
30	23	2409.4651304913
31	23	2664.02157778644
32	23	2428.63985820344
33	23	3069.22596895434
34	23	3069.22596895434
35	23	3798.6469871741
36	23	507.831915550118
1	24	224.141090996312
2	24	348.631801531522
3	24	2674.48081984115
4	24	2701.82064550164
5	24	588.750950415041
6	24	1178.08231009026
7	24	3174.16675238762
8	24	3534.0660547518
9	24	3164.78696927056
10	24	3264.08689206358
11	24	1880.38087569343
12	24	1940.68519067265
13	24	2899.95481226821
14	24	3090.98098997978
15	24	3090.98098997978
16	24	3255.127099019
17	24	3293.63054242419
18	24	3293.63054242419
19	24	2962.06361561599
20	24	2962.06361561599
21	24	3074.76362854584
22	24	3074.76362854584
23	24	644.830687830688
24	24	0
25	24	103.428240740741
26	24	974.259259259259
27	24	1148.38336531373
28	24	1817.14597426083
29	24	1637.42373587847
30	24	1765.66255489135
31	24	2020.15481726999
32	24	1785.08133962977
33	24	2424.59469591893
34	24	2424.59469591893
35	24	3153.83174805119
36	24	1148.27285879715
1	25	324.625414962892
2	25	451.091281267502
3	25	2571.28637664723
4	25	2598.62008786848
5	25	487.809825512096
6	25	1075.26422961623
7	25	3070.75286048579
8	25	3430.64762169394
9	25	3061.36029036386
10	25	3160.66997863216
11	25	1777.75949800125
12	25	1837.77234611973
13	25	2796.55489398225
14	25	2987.5759035338
15	25	2987.5759035338
16	25	3151.76359062098
17	25	3190.30085232521
18	25	3190.30085232521
19	25	2858.64705678208
20	25	2858.64705678208
21	25	2971.34409554841
22	25	2971.34409554841
23	25	748.258928571429
24	25	103.428240740741
25	25	0
26	25	1077.6875
27	25	1251.81107239374
28	25	1713.80915537475
29	25	1534.20065257782
30	25	1662.47338343652
31	25	1916.94149290918
32	25	1681.94784000011
33	25	2321.2087496443
34	25	2321.2087496443
35	25	3050.40659304033
36	25	1251.41664013613
1	26	762.078137321613
2	26	632.179828581252
3	26	3647.18785108135
4	26	3674.56357165656
5	26	1555.70002438965
6	26	2149.46913581841
7	26	4148.32596146029
8	26	4508.25501237209
9	26	4139.03534712624
10	26	4238.26658153665
11	26	2849.90405834434
12	26	2911.88244916387
13	26	3874.02149000054
14	26	4065.07995918613
15	26	4065.07995918613
16	26	4228.93194409867
17	26	4267.19582975058
18	26	4267.19582975058
19	26	3936.24296094545
20	26	3936.24296094545
21	26	4048.96269475771
22	26	4048.96269475771
23	26	329.428571428571
24	26	974.259259259259
25	26	1077.6875
26	26	0
27	26	174.160241679608
28	26	2790.87647844017
29	26	2610.54759288429
30	26	2738.55517828043
31	26	2993.11787782054
32	26	2757.64790468653
33	26	3398.58186424272
34	26	3398.58186424272
35	26	4128.06952887274
36	26	192.322299009242
1	27	935.569544205727
2	27	806.016152942498
3	27	3820.99688846691
4	27	3848.37828424522
5	27	1729.61307315986
6	27	2323.47645417361
7	27	4322.46869790166
8	27	4682.32572294441
9	27	4313.14606959435
10	27	4412.41332527137
11	27	3023.26566577353
12	27	3085.48602459317
13	27	4048.17805406857
14	27	4239.22781563846
15	27	4239.22781563846
16	27	4403.07109291312
17	27	4441.31750949406
18	27	4441.31750949406
19	27	4110.35785103062
20	27	4110.35785103062
21	27	4223.04935450781
22	27	4223.04935450781
23	27	503.560948562885
24	27	1148.38336531373
25	27	1251.81107239374
26	27	174.160241679608
27	27	0
28	27	2964.84720110658
29	27	2784.41772505433
30	27	2912.38127078189
31	27	3166.94530473791
32	27	2931.42357376517
33	27	3572.7337102675
34	27	3572.7337102675
35	27	4302.1939026852
36	27	92.1634687634289
1	28	2031.07794392535
2	28	2163.76020505898
3	28	861.260747500421
4	28	888.409940560917
5	28	1253.14803075265
6	28	671.834616114064
7	28	1363.79234419438
8	28	1718.5268733006
9	28	1350.57505247242
10	28	1452.58816473448
11	28	167.232827651303
12	28	170.20659891357
13	28	1092.65259345116
14	28	1282.06890468724
15	28	1282.06890468724
16	28	1449.41210498544
17	28	1490.15200779288
18	28	1490.15200779288
19	28	1150.5897409944
20	28	1150.5897409944
21	28	1260.66862936344
22	28	1260.66862936344
23	28	2461.57987409208
24	28	1817.14597426083
25	28	1713.80915537475
26	28	2790.87647844017
27	28	2964.84720110658
28	28	0
29	28	183.049404542428
30	28	68.4098623104935
31	28	207.349754827416
32	28	66.8357043553533
33	28	624.285289424969
34	28	624.285289424969
35	28	1340.45058551165
36	28	2964.87315577145
1	29	1850.40886908587
2	29	1984.64406644176
3	29	1039.46073619928
4	29	1066.75585876808
5	29	1079.18070396748
6	29	510.826672180559
7	29	1546.6317269373
8	29	1900.33560035071
9	29	1532.8949432706
10	29	1635.24811887094
11	29	269.425782481988
12	29	315.362084692792
13	29	1275.68744474314
14	29	1465.01993634539
15	29	1465.01993634539
16	29	1632.40507884272
17	29	1673.11460027065
18	29	1673.11460027065
19	29	1333.28560588295
20	29	1333.28560588295
21	29	1442.94416877832
22	29	1442.94416877832
23	29	2281.39449049141
24	29	1637.42373587847
25	29	1534.20065257782
26	29	2610.54759288429
27	29	2784.41772505433
28	29	183.049404542428
29	29	0
30	29	128.521521758395
31	29	382.758021769539
32	29	149.2330215996
33	29	806.773104272552
34	29	806.773104272552
35	29	1522.90046491404
36	29	2785.50227303643
1	30	1978.27690822292
2	30	2112.98844455214
3	30	911.965026132984
4	30	939.258423357779
5	30	1207.39632935453
6	30	634.317936020353
7	30	1421.68333423612
8	30	1773.57673261129
9	30	1406.81893170389
10	30	1509.88941580987
11	30	161.499661247338
12	30	194.600571811898
13	30	1151.97886274544
14	30	1340.56276419493
15	30	1340.56276419493
16	30	1508.49985126145
17	30	1549.64146754797
18	30	1549.64146754797
19	30	1208.2258538615
20	30	1208.2258538615
21	30	1316.92438531171
22	30	1316.92438531171
23	30	2409.4651304913
24	30	1765.66255489135
25	30	1662.47338343652
26	30	2738.55517828043
27	30	2912.38127078189
28	30	68.4098623104935
29	30	128.521521758395
30	30	0
31	30	254.5873957029
32	30	23.993103805076
33	30	686.865306084126
34	30	686.865306084126
35	30	1397.09011961167
36	30	2913.77373657515
1	31	2232.71889415177
2	31	2367.39616892997
3	31	658.628818993258
4	31	685.840966307725
5	31	1459.52917940763
6	31	878.870404256442
7	31	1171.02152015157
8	31	1520.09309899596
9	31	1154.27195221104
10	31	1258.34895215366
11	31	187.21353826277
12	31	121.016157741872
13	31	903.888432027405
14	31	1090.83424752536
15	31	1090.83424752536
16	31	1259.61243689638
17	31	1301.54258095265
18	31	1301.54258095265
19	31	957.764589253777
20	31	957.764589253777
21	31	1064.72707374043
22	31	1064.72707374043
23	31	2664.02157778644
24	31	2020.15481726999
25	31	1916.94149290918
26	31	2993.11787782054
27	31	3166.94530473791
28	31	207.349754827416
29	31	382.758021769539
30	31	254.5873957029
31	31	0
32	31	235.92424610876
33	31	451.428587421515
34	31	451.428587421515
35	31	1144.92510364348
36	31	3168.25770871758
1	32	1997.15011012564
2	32	2132.61424990801
3	32	892.590002356982
4	32	919.91781686345
5	32	1228.37615316581
6	32	657.087578759329
7	32	1405.16790415766
8	32	1755.85721370928
9	32	1389.49817457399
10	32	1492.91251689727
11	32	138.292016936377
12	32	172.368737349476
13	32	1136.10220145571
14	32	1324.33413486767
15	32	1324.33413486767
16	32	1492.58874894326
17	32	1533.99078290913
18	32	1533.99078290913
19	32	1191.79276164914
20	32	1191.79276164914
21	32	1299.84831767085
22	32	1299.84831767085
23	32	2428.63985820344
24	32	1785.08133962977
25	32	1681.94784000011
26	32	2757.64790468653
27	32	2931.42357376517
28	32	66.8357043553533
29	32	149.2330215996
30	32	23.993103805076
31	32	235.92424610876
32	32	0
33	32	673.224880523289
34	32	673.224880523289
35	32	1379.88350067942
36	32	2933.25972201203
1	33	2641.54243439764
2	33	2768.09513509027
3	33	343.316103466333
4	33	363.013489975472
5	33	1847.24402649264
6	33	1253.35336616615
7	33	750.348008282613
8	33	1115.58183163477
9	33	745.670104921224
10	33	841.760234353249
11	33	630.425651933129
12	33	553.925297392741
13	33	475.823678209752
14	33	666.70393232777
15	33	666.70393232777
16	33	830.87468256898
17	33	870.335841053662
18	33	870.335841053662
19	33	540.97006169065
20	33	540.97006169065
21	33	656.758251265069
22	33	656.758251265069
23	33	3069.22596895434
24	33	2424.59469591893
25	33	2321.2087496443
26	33	3398.58186424272
27	33	3572.7337102675
28	33	624.285289424969
29	33	806.773104272552
30	33	686.865306084126
31	33	451.428587421515
32	33	673.224880523289
33	33	0
34	33	0
35	33	733.851279644986
36	33	3568.54731051313
1	34	2641.54243439764
2	34	2768.09513509027
3	34	343.316103466333
4	34	363.013489975472
5	34	1847.24402649264
6	34	1253.35336616615
7	34	750.348008282613
8	34	1115.58183163477
9	34	745.670104921224
10	34	841.760234353249
11	34	630.425651933129
12	34	553.925297392741
13	34	475.823678209752
14	34	666.70393232777
15	34	666.70393232777
16	34	830.87468256898
17	34	870.335841053662
18	34	870.335841053662
19	34	540.97006169065
20	34	540.97006169065
21	34	656.758251265069
22	34	656.758251265069
23	34	3069.22596895434
24	34	2424.59469591893
25	34	2321.2087496443
26	34	3398.58186424272
27	34	3572.7337102675
28	34	624.285289424969
29	34	806.773104272552
30	34	686.865306084126
31	34	451.428587421515
32	34	673.224880523289
33	34	0
34	34	0
35	34	733.851279644986
36	34	3568.54731051313
1	35	3369.01376506392
2	35	3498.73302835162
3	35	512.837889333756
4	35	486.766677565692
5	35	2579.54107975845
6	35	1986.45816786324
7	35	66.2744869716286
8	35	385.237536852164
9	35	21.3552101122932
10	35	115.392028928329
11	35	1306.364165267
12	35	1235.5335607031
13	35	263.354260610054
14	35	96.5329653910376
15	35	96.5329653910376
16	35	157.150209969666
17	35	203.602588278994
18	35	203.602588278994
19	35	202.919329638307
20	35	202.919329638307
21	35	100.609483272945
22	35	100.609483272945
23	35	3798.6469871741
24	35	3153.83174805119
25	35	3050.40659304033
26	35	4128.06952887274
27	35	4302.1939026852
28	35	1340.45058551165
29	35	1522.90046491404
30	35	1397.09011961167
31	35	1144.92510364348
32	35	1379.88350067942
33	35	733.851279644986
34	35	733.851279644986
35	35	0
36	35	4299.6566883347
1	36	941.822552658046
2	36	801.184939312674
3	36	3822.54263348126
4	36	3849.87041306168
5	36	1722.1496002002
6	36	2316.88895469227
7	36	4318.73254509066
8	36	4680.34441580921
9	36	4310.83022713649
10	36	4409.20090336046
11	36	3027.94824405739
12	36	3088.74064988332
13	36	4044.16826369945
14	36	4235.21409799882
15	36	4235.21409799882
16	36	4398.05691434569
17	36	4435.75282784089
18	36	4435.75282784089
19	36	4107.14308742268
20	36	4107.14308742268
21	36	4220.62002025525
22	36	4220.62002025525
23	36	507.831915550118
24	36	1148.27285879715
25	36	1251.41664013613
26	36	192.322299009242
27	36	92.1634687634289
28	36	2964.87315577145
29	36	2785.50227303643
30	36	2913.77373657515
31	36	3168.25770871758
32	36	2933.25972201203
33	36	3568.54731051313
34	36	3568.54731051313
35	36	4299.6566883347
36	36	0
